Document,Question,reference_answer
Tesla_Q4_2023,What differentiates Tesla’s vehicle sales model?,"Tesla sells directly to customers, bypassing traditional dealerships and maintaining control of pricing and customer experience."
Tesla_Q4_2023,What are Tesla’s main energy products?,Tesla offers Powerwall and Megapack for energy storage and Solar Roof and panels for power generation.
Tesla_Q4_2023,What is Tesla's self-driving strategy?,"Tesla develops FSD (Supervised) using vision-based systems and neural networks, updated via over-the-air updates."
Tesla_Q4_2023,How does Tesla support used vehicle sales?,"Tesla resells trade-ins, lease returns, and other used vehicles through its network or third-party channels."
Tesla_Q1_2024,How does Tesla manage deferred revenue from FSD and software?,"Deferred revenue is related to FSD features, connectivity, and software updates, recognized over time."
Tesla_Q1_2024,What financial reporting format does Tesla use in Q1 2024?,"Tesla reports on an unaudited interim basis, with reclassifications made for comparability."
Tesla_Q1_2024,How does Tesla generate energy revenue?,"Revenue is recognized from solar and energy storage contracts, with amounts allocated to unfulfilled obligations."
Tesla_Q1_2024,What does Tesla disclose about customer financing?,"Tesla provides loans for automotive and energy products, which are recorded in current and non-current receivables."
Tesla_Q1_2024,How does Tesla allocate software-related revenues?,Revenues from subscriptions or upgrades are deferred and recognized based on service delivery.
Tesla_Q2_2024,What does Tesla’s Q2 2024 filing say about FSD deferred revenue?,"Deferred revenue includes FSD features and other software, with revenue recognized as services are performed."
Tesla_Q2_2024,How does Tesla handle revenue from energy storage contracts?,"Tesla recognizes energy storage revenue over time, with a large portion deferred due to multi-year contracts."
Tesla_Q2_2024,What is Tesla’s approach to resale value guarantees?,Tesla accounts for resale value guarantees as liabilities and reassesses exposure quarterly.
Tesla_Q2_2024,What are Tesla’s energy financing arrangements?,"Tesla provides loans for energy systems, recorded as receivables in its financials."
Tesla_Q2_2024,What does Tesla disclose about income tax treatment?,Income tax is calculated using estimated effective tax rates adjusted for discrete items quarterly.
Tesla_Q3_2024,What state is Tesla incorporated in as of Q3 2024?,"Tesla was converted to a Texas corporation as of June 13, 2024."
Tesla_Q3_2024,What does Tesla's Robotaxi business entail?,Tesla plans to launch an autonomous ride-hailing network using its vehicles and FSD capabilities.
Tesla_Q3_2024,How is Tesla integrating AI beyond self-driving?,"Tesla uses AI for robotics projects like Optimus, a humanoid robot controlled by its FSD neural networks."
Tesla_Q3_2024,How are Megapack installations designed?,"Megapack systems are modular, designed for efficient field assembly and integration with energy grids."
Tesla_Q3_2024,How does Tesla manage over-the-air software capabilities?,"Tesla updates vehicle and energy systems remotely, allowing for upgrades and new features."
Tesla_Q4_2024,What are Tesla’s two primary business segments?,Tesla operates in the automotive segment and energy generation and storage segment.
Tesla_Q4_2024,What technology is used in Tesla's battery systems?,Tesla uses proprietary lithium-ion battery cells and powertrain technologies for performance and cost-efficiency.
Tesla_Q4_2024,How is Tesla’s public charging infrastructure evolving?,Tesla's Supercharger network is expanding and has been opened to non-Tesla vehicles via the NACS standard.
Tesla_Q4_2024,What customer tools are available for software upgrades?,"Customers can purchase upgrades through the Tesla app or vehicle UI, enabling subscription services."
Tesla_Q4_2024,How does Tesla support sustainable energy goals?,Tesla co-locates Superchargers with solar installations and promotes interoperability via NACS adoption.
